Paint Booth;PBE
Underfloor Wheel Reprofiling Facility;UWRF
Surface Wheel Lathe;SWL
Wheel Press Workstations / Tyre Press Workstations;WPM
Bogie Turntables;BTT
Bogie Work Station;BWS
Lifting Tables - Pit Movable;PMLT
Workbenches;WB
Fixed Battery Charger Station (Enclosure, Electrical Parts);FBCS
Fixed Battery Charger Station (Electronic Cards);FBCS
Automatic Underframe Cleaning System;UFCF
Car Washing;VWP
Workshop Equipment;WSEQ
Rail System;RSYS
Track Foundation;TF
Track Furniture;TU
Switch and Crossing;TUO
Waste Water Treatment System;WWTS
Waste Compactor;WCOMP
Guideway;GW
